기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	일반 교과 학원	일반 교과 학원
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	중랑구	면목5동	58	474	45	79	90	94	13	16	15	21	20	21	3	12	9	13	1	2	1	2
2016	중랑구	면목7동	129	284	104	268	108	108	42	57	40	50	50	75	19	41	28	51	11	27	11	64
2016	중랑구	상봉1동	149	1,140	33	97	112	116	24	43	15	26	36	63	28	101	48	134	5	13	12	26
2016	중랑구	상봉2동	67	67	246	686	69	71	61	105	105	194	39	88	34	130	37	79	5	29	1	1
2016	중랑구	중화1동	132	132	42	111	113	116	32	43	11	17	39	58	12	19	10	12	3	13	23	91
2016	중랑구	중화2동	123	260	183	402	159	167	38	66	110	169	61	72	21	47	32	39	8	51	3	8
2016	중랑구	묵1동	168	168	107	333	135	135	52	69	38	60	51	78	28	88	14	21	3	27	17	54
2016	중랑구	묵2동	123	123	103	255	445	450	44	54	49	97	44	53	16	31	14	22	2	7	8	25
2016	중랑구	망우3동	111	308	59	149	107	128	26	37	28	41	38	44	10	18	7	10	1	2	9	20
2016	중랑구	신내1동	377	947	113	388	235	241	40	57	38	76	48	66	25	76	17	28	2	6	38	142
2016	중랑구	신내2동	214	214	43	144	107	107	28	43	15	32	28	64	14	55	38	49	-	-	35	163
2016	중랑구	면목본동	149	149	170	425	196	222	84	112	86	160	74	90	20	49	29	47	4	4	16	51
2016	중랑구	면목3.8동	178	294	162	356	139	216	52	72	85	151	61	97	29	66	38	68	4	13	16	41
2016	중랑구	망우본동	1,237	1,760	210	476	227	254	65	95	77	116	70	107	38	102	43	61	3	12	17	128
2016	성북구	소계	1,879	3,148	1,631	4,832	1,556	1,654	764	1,090	737	1,495	745	1,315	525	1,543	463	1,033	80	416	352	1,226
2016	성북구	돈암1동	52	52	9	52	53	53	18	25	3	5	11	13	8	21	4	4	-	-	13	165
2016	성북구	돈암2동	54	54	8	22	36	36	23	25	1	1	13	15	7	9	4	4	1	1	19	44
2016	성북구	안암동	37	37	132	486	47	47	34	48	78	216	38	107	81	302	15	25	19	71	7	16
2016	성북구	보문동	188	188	75	171	51	52	38	50	33	53	34	42	10	18	7	138	16	69	7	39
2016	성북구	정릉1동	96	96	50	130	45	45	27	42	15	26	27	32	7	24	3	3	-	-	17	34
2016	성북구	정릉2동	132	293	54	157	105	111	36	46	12	15	28	36	17	39	10	11	1	2	15	53
2016	성북구	정릉3동	93	93	68	162	47	50	14	19	22	39	21	25	13	46	5	27	-	-	3	10
2016	성북구	정릉4동	152	444	64	161	85	86	34	44	21	33	29	46	15	51	7	9	3	9	12	23
2016	성북구	길음1동	-	-	48	134	-	-	53	102	57	103	42	84	23	84	35	41	-	-	28	86
2016	성북구	길음2동	122	122	56	298	111	112	34	57	14	20	25	60	21	77	147	299	1	20	14	44
2016	성북구	월곡1동	114	114	72	155	134	135	33	45	19	29	39	49	12	34	11	17	3	61	20	58
2016	성북구	월곡2동	73	73	109	375	79	85	34	47	35	78	49	91	44	152	23	39	1	2	18	66
2016	성북구	장위1동	100	100	62	112	130	135	36	42	27	39	41	47	10	16	12	17	-	-	7	14
2016	성북구	장위2동	97	246	107	240	83	88	37	49	70	93	42	52	12	15	22	28	5	20	13	35
2016	성북구	장위3동	75	742	35	95	70	71	18	21	20	29	17	19	5	9	6	77	4	43	10	32
2016	성북구	성북동	47	47	84	377	31	31	36	57	17	41	23	45	39	118	24	71	4	48	26	85
2016	성북구	삼선동	82	82	163	417	75	75	50	68	72	112	53	77	52	106	21	38	8	20	23	82
2016	성북구	동선동	42	42	145	506	34	39	68	101	105	351	84	285	90	275	58	120	5	19	40	141
2016	성북구	종암동	123	123	121	309	155	167	65	99	42	68	61	97	30	74	27	33	5	18	39	118
2016	성북구	석관동	200	200	169	473	185	236	76	103	74	144	68	93	29	73	22	32	4	13	21	81
2016	강북구	소계	1,749	2,965	1,512	4,282	1,225	1,249	572	759	734	1,455	644	944	301	821	293	542	17	96	203	703
2016	강북구	번1동	94	253	130	364	65	65	55	75	78	124	56	113	31	94	28	51	1	30	10	40
2016	강북구	번2동	116	116	24	59	97	100	13	19	7	12	19	19	5	7	2	2	2	16	2	4
2016	강북구	번3동	294	435	30	64	71	71	14	20	15	28	23	25	11	33	4	8	-	-	18	60
2016	강북구	수유1동	103	292	123	225	90	91	35	41	38	46	43	49	18	33	43	61	-	-	13	41
2016	강북구	수유2동	118	118	86	245	91	91	42	57	40	62	52	59	11	16	12	16	1	4	19	64
2016	강북구	수유3동	92	92	274	838	71	77	73	111	170	506	72	139	36	152	43	91	4	9	4	16
2016	강북구	삼양동	117	256	59	97	122	125	32	38	24	32	49	60	10	12	14	18	1	1	25	67
2016	강북구	미아동	104	104	138	328	103	105	71	93	72	116	76	127	30	74	37	55	4	18	10	30
2016	강북구	송중동	153	153	173	653	104	104	58	74	96	229	63	96	37	121	42	140	1	2	25	74
2016	강북구	송천동	128	312	178	458	114	118	71	93	90	124	78	104	30	67	15	24	2	3	16	92
2016	강북구	삼각산동	95	95	44	118	83	83	45	59	18	30	32	62	19	65	9	12	-	-	33	128
2016	강북구	우이동	118	267	167	602	62	62	18	24	55	100	24	33	34	79	26	43	1	13	4	14
2016	강북구	인수동	217	472	86	231	152	157	45	55	31	46	57	58	29	68	18	21	-	-	24	73
2016	도봉구	소계	3,104	6,735	1,130	3,134	1,702	1,744	502	714	453	749	562	780	239	640	229	410	15	41	269	785
2016	도봉구	쌍문1동	200	373	31	86	91	91	17	24	15	17	33	37	25	51	6	7	1	2	11	31
2016	도봉구	쌍문2동	139	472	69	185	100	100	28	41	28	48	52	90	16	43	24	35	-	-	30	92
2016	도봉구	쌍문3동	79	79	53	154	52	52	39	63	23	41	30	36	10	36	21	46	-	-	8	26
2016	도봉구	쌍문4동	120	120	13	43	69	69	17	25	3	6	28	45	10	24	19	24	-	-	34	70
2016	도봉구	방학1동	208	1,099	214	533	118	118	75	118	98	146	73	112	28	87	37	85	1	1	33	96
2016	도봉구	방학2동	168	168	71	145	95	99	22	29	23	35	57	61	10	12	13	16	-	-	13	35
2016	도봉구	방학3동	233	581	40	149	114	118	21	30	7	10	20	32	12	31	5	6	2	2	14	28
2016	도봉구	창1동	188	188	56	155	434	440	47	61	26	45	35	47	16	78	11	20	1	4	11	23
2016	도봉구	창2동	183	382	70	145	152	161	45	56	28	42	53	60	10	18	24	44	3	5	16	71
2016	도봉구	창3동	143	143	69	155	89	91	28	38	38	47	32	32	11	14	15	23	1	1	9	13
2016	도봉구	창4동	148	662	68	221	65	65	37	57	34	78	24	32	15	59	7	13	1	4	24	100
2016	도봉구	창5동	884	1,044	85	443	96	96	45	58	33	74	44	83	33	110	17	27	1	2	46	146
2016	도봉구	도봉1동	162	482	206	496	107	119	44	58	53	85	44	57	23	46	16	27	1	3	5	18
